experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR000AKC	False	ENCSR000AKJ	H3K27ac	Histone ChIP-seq	Homo sapiens GM12878	Bradley Bernstein, Broad	EFO:0002784	GM12878	cell line	bodily fluid,blood	B cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO000AAK	female	adult			European	single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	1836335632.0
ENCSR000AKJ	True			Control ChIP-seq	Homo sapiens GM12878	Bradley Bernstein, Broad	EFO:0002784	GM12878	cell line	bodily fluid,blood	B cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO000AAK	female	adult			European	single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	933172847.0
ENCSR000AKP	False	ENCSR000AKY	H3K27ac	Histone ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	EFO:0002067	K562	cell line	bodily fluid,blood	cancer cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO000AAD	female	adult	53	year		single-ended	Illumina Genome Analyzer II	3	4	isogenic	2011-02-10	released	6	6470965157.0
ENCSR000AKY	True			Control ChIP-seq	Homo sapiens K562	Bradley Bernstein, Broad	EFO:0002067	K562	cell line	bodily fluid,blood	cancer cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO000AAD	female	adult	53	year		single-ended	Illumina Genome Analyzer IIe	3	4	isogenic	2011-02-10	released	5	2526802625.0
ENCSR000ALB	False	ENCSR000ALG	H3K27ac	Histone ChIP-seq	Homo sapiens endothelial cell of umbilical vein newborn	Bradley Bernstein, Broad	CL:0002618	endothelial cell of umbilical vein	primary cell	vasculature,extraembryonic component,placenta,vein,epithelium,blood vessel	epithelial cell,endothelial cell	mesoderm	circulatory system,reproductive system	Homo sapiens	ENCDO466MPW	unknown	newborn	unknown			single-ended	Illumina Genome Analyzer IIx	3	3	anisogenic	2011-02-10	released	2	1698336149.0
ENCSR000ALG	True			Control ChIP-seq	Homo sapiens endothelial cell of umbilical vein newborn	Bradley Bernstein, Broad	CL:0002618	endothelial cell of umbilical vein	primary cell	vasculature,extraembryonic component,placenta,vein,epithelium,blood vessel	epithelial cell,endothelial cell	mesoderm	circulatory system,reproductive system	Homo sapiens	ENCDO466MPW	unknown	newborn	unknown			single-ended	Illumina Genome Analyzer IIx	2	4	anisogenic	2011-02-10	released	3	1794796699.0
ENCSR000ALK	False	ENCSR000ALS	H3K27ac	Histone ChIP-seq	Homo sapiens keratinocyte female	Bradley Bernstein, Broad	CL:0000312	keratinocyte	primary cell	skin of body,epithelium	epithelial cell,keratinocyte	ectoderm	integumental system	Homo sapiens	ENCDO268AAA	female	unknown	unknown		African American	single-ended	Illumina Genome Analyzer IIx	3	3	isogenic	2011-02-10	released	2	1551769519.0
ENCSR000ALS	True			Control ChIP-seq	Homo sapiens keratinocyte female	Bradley Bernstein, Broad	CL:0000312	keratinocyte	primary cell	skin of body,epithelium	epithelial cell,keratinocyte	ectoderm	integumental system	Homo sapiens	ENCDO268AAA	female	unknown	unknown		African American	single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2011-02-10	released	2	1843304380.0
ENCSR000ALW	False	ENCSR000AMN	H3K27ac	Histone ChIP-seq	Homo sapiens mammary epithelial cell female adult (50 years)	Bradley Bernstein, Broad	CL:0002327	mammary epithelial cell	primary cell	mammary gland,epithelium,exocrine gland	epithelial cell	ectoderm	integumental system,exocrine system	Homo sapiens	ENCDO830BUW	female	adult	50	year	European	single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	1141752782.0
ENCSR000AMI	True			Control ChIP-seq	Homo sapiens H1	Bradley Bernstein, Broad	EFO:0003042	H1	cell line	embryo	stem cell,embryonic cell			Homo sapiens	ENCDO000AAW	male	embryonic				single-ended	Illumina HiSeq 2000	5	13	isogenic	2011-02-10	released	19	13864226563.0
ENCSR000AMN	True			Control ChIP-seq	Homo sapiens mammary epithelial cell female adult (50 years)	Bradley Bernstein, Broad	CL:0002327	mammary epithelial cell	primary cell	mammary gland,epithelium,exocrine gland	epithelial cell	ectoderm	integumental system,exocrine system	Homo sapiens	ENCDO830BUW	female	adult	50	year	European	single-ended	Illumina Genome Analyzer II	2	4	isogenic	2011-02-10	released	8	3613178183.0
ENCSR000AMO	False	ENCSR055XHN	H3K27ac	Histone ChIP-seq	Homo sapiens HepG2	Bradley Bernstein, Broad	EFO:0001187	HepG2	cell line	exocrine gland,epithelium,liver,endocrine gland	epithelial cell,cancer cell	endoderm	exocrine system,endocrine system,digestive system	Homo sapiens	ENCDO000AAC	male	child	15	year	European	single-ended	Illumina Genome Analyzer IIe	3	4	isogenic	2011-02-10	released	6	3515975061.0
ENCSR000AMR	False	ENCSR000AMZ	H3K27ac	Histone ChIP-seq	Homo sapiens fibroblast of lung female child (11 years) and male adult (45 years)	Bradley Bernstein, Broad	CL:0002553	fibroblast of lung	primary cell	connective tissue,lung	connective tissue cell,fibroblast	endoderm	respiratory system	Homo sapiens	ENCDO269AAA	male	adult	45	year	European	single-ended	Illumina Genome Analyzer IIe	2	2	anisogenic	2011-02-10	released	2	735003439.0
ENCSR000AMZ	True			Control ChIP-seq	Homo sapiens fibroblast of lung female child (11 years) and male adult (45 years)	Bradley Bernstein, Broad	CL:0002553	fibroblast of lung	primary cell	connective tissue,lung	connective tissue cell,fibroblast	endoderm	respiratory system	Homo sapiens	ENCDO269AAA	male	adult	45	year	European	single-ended	Illumina Genome Analyzer IIe	2	2	anisogenic	2011-02-10	released	2	740290206.0
ENCSR000ANF	False	ENCSR000ANN	H3K27ac	Histone ChIP-seq	Homo sapiens skeletal muscle myoblast male adult (22 years)	Bradley Bernstein, Broad	CL:0000515	skeletal muscle myoblast	primary cell	musculature of body	myoblast,embryonic cell	mesoderm	musculature	Homo sapiens	ENCDO341XKY	male	adult	22	year	European	single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	1402306884.0
ENCSR000ANN	True			Control ChIP-seq	Homo sapiens skeletal muscle myoblast male adult (22 years)	Bradley Bernstein, Broad	CL:0000515	skeletal muscle myoblast	primary cell	musculature of body	myoblast,embryonic cell	mesoderm	musculature	Homo sapiens	ENCDO341XKY	male	adult	22	year	European	single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2011-02-10	released	2	1200767891.0
ENCSR000ANP	False	ENCSR000AMI	H3K27ac	Histone ChIP-seq	Homo sapiens H1	Bradley Bernstein, Broad	EFO:0003042	H1	cell line	embryo	stem cell,embryonic cell			Homo sapiens	ENCDO000AAW	male	embryonic				single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2011-02-10	released	2	1487780114.0
ENCSR000ANT	True			Control ChIP-seq	Homo sapiens myotube originated from skeletal muscle myoblast	Bradley Bernstein, Broad	CL:0002372	myotube	in vitro differentiated cells	musculature of body		mesoderm	musculature	Homo sapiens	ENCDO341XKY	male	adult	22	year	European	single-ended	Illumina Genome Analyzer II	2	3	isogenic	2011-02-10	released	2	2987119268.0
ENCSR000ANV	False	ENCSR000ANT	H3K27ac	Histone ChIP-seq	Homo sapiens myotube originated from skeletal muscle myoblast	Bradley Bernstein, Broad	CL:0002372	myotube	in vitro differentiated cells	musculature of body		mesoderm	musculature	Homo sapiens	ENCDO341XKY	male	adult	22	year	European	single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	804110866.0
ENCSR000AOB	True			Control ChIP-seq	Homo sapiens HeLa-S3	Bradley Bernstein, Broad	EFO:0002791	HeLa-S3	cell line	uterus,epithelium	epithelial cell,cancer cell		reproductive system	Homo sapiens	ENCDO000AAB	female	adult	31	year	African American	single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2011-02-10	released	2	4090460448.0
ENCSR000AOC	False	ENCSR000AOB	H3K27ac	Histone ChIP-seq	Homo sapiens HeLa-S3	Bradley Bernstein, Broad	EFO:0002791	HeLa-S3	cell line	uterus,epithelium	epithelial cell,cancer cell		reproductive system	Homo sapiens	ENCDO000AAB	female	adult	31	year	African American	single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2011-02-10	released	2	1900101378.0
ENCSR000AOP	True			Control ChIP-seq	Homo sapiens astrocyte	Bradley Bernstein, Broad	CL:0000127	astrocyte	primary cell	spinal cord,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO916IIE	unknown	unknown	unknown			single-ended	Illumina Genome Analyzer IIx	2	4	isogenic	2011-02-10	released	6	6383389776.0
ENCSR000AOQ	False	ENCSR000AOP	H3K27ac	Histone ChIP-seq	Homo sapiens astrocyte	Bradley Bernstein, Broad	CL:0000127	astrocyte	primary cell	spinal cord,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO916IIE	unknown	unknown	unknown			single-ended	Illumina Genome Analyzer IIe	2	2	isogenic	2011-02-10	released	2	1001586091.0
ENCSR000APH	False	ENCSR000APU	H3K27ac	Histone ChIP-seq	Homo sapiens osteoblast	Bradley Bernstein, Broad	CL:0000062	osteoblast	primary cell	connective tissue	connective tissue cell	ectoderm,mesoderm	skeletal system	Homo sapiens	ENCDO271AAA	unknown	unknown	unknown			single-ended	Illumina Genome Analyzer IIe	2	2	anisogenic	2011-02-10	released	2	2617746525.0
ENCSR000APN	False	ENCSR000APT	H3K27ac	Histone ChIP-seq	Homo sapiens fibroblast of dermis	Bradley Bernstein, Broad	CL:0002551	fibroblast of dermis	primary cell	skin of body,connective tissue	fibroblast,connective tissue cell	mesoderm,ectoderm	integumental system	Homo sapiens	ENCDO759UVX	unknown					single-ended	Illumina Genome Analyzer II	2	2	isogenic	2011-02-10	released	2	2515130662.0
ENCSR000APT	True			Control ChIP-seq	Homo sapiens fibroblast of dermis	Bradley Bernstein, Broad	CL:0002551	fibroblast of dermis	primary cell	skin of body,connective tissue	fibroblast,connective tissue cell	mesoderm,ectoderm	integumental system	Homo sapiens	ENCDO759UVX	unknown					single-ended	Illumina Genome Analyzer IIx	3	4	isogenic	2011-02-10	released	6	5159117077.0
ENCSR000APU	True			Control ChIP-seq	Homo sapiens osteoblast	Bradley Bernstein, Broad	CL:0000062	osteoblast	primary cell	connective tissue	connective tissue cell	ectoderm,mesoderm	skeletal system	Homo sapiens	ENCDO271AAA	unknown	unknown	unknown			single-ended	Illumina Genome Analyzer II	3	4	anisogenic	2011-02-10	released	2	2881961256.0
ENCSR000AQW	False	ENCSR000ASA	H3K27ac	Histone ChIP-seq	Homo sapiens DND-41	Bradley Bernstein, Broad	EFO:0007074	DND-41	cell line	blood,bodily fluid	T cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO183AAA	male	child	13	year		single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2012-03-06	released	2	3232670586.0
ENCSR000ASA	True			Control ChIP-seq	Homo sapiens DND-41	Bradley Bernstein, Broad	EFO:0007074	DND-41	cell line	blood,bodily fluid	T cell,leukocyte,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO183AAA	male	child	13	year		single-ended	Illumina Genome Analyzer	2	2	isogenic	2012-03-06	released	2	3138854298.0
ENCSR000ASJ	False	ENCSR000AUU	H3K27ac	Histone ChIP-seq	Homo sapiens CD14-positive monocyte female	Bradley Bernstein, Broad	CL:0001054	CD14-positive monocyte	primary cell	blood,bodily fluid	myeloid cell,hematopoietic cell,monocyte,leukocyte	mesoderm	immune system	Homo sapiens	ENCDO265AAA	female	unknown	unknown			single-ended	Illumina Genome Analyzer	2	2	isogenic	2012-08-06	released	2	1829979046.0
ENCSR000ASR	True			Control ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 1 hour	Bradley Bernstein, Broad	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	3	3	isogenic	2012-08-06	released	2	1977760581.0
ENCSR000ASS	True			Control ChIP-seq	Homo sapiens A549 treated with 0.02% ethanol for 1 hour	Bradley Bernstein, Broad	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	4	4	isogenic	2012-08-06	released	6	9693307927.0
ENCSR000AUI	False	ENCSR000ASS	H3K27ac	Histone ChIP-seq	Homo sapiens A549 treated with 0.02% ethanol for 1 hour	Bradley Bernstein, Broad	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	2	2	isogenic	2012-08-06	released	2	2050896181.0
ENCSR000AUP	False	ENCSR000AUW	H3K27ac	Histone ChIP-seq	Homo sapiens B cell female adult (27 years)	Bradley Bernstein, Broad	CL:0000236	B cell	primary cell	blood,bodily fluid	leukocyte,B cell,hematopoietic cell	endoderm,mesoderm	immune system	Homo sapiens	ENCDO115AAA	female	adult	27	year	African American	single-ended	Illumina HiSeq 2000	2	2	isogenic	2012-08-06	released	2	4132906280.0
ENCSR000AUU	True			Control ChIP-seq	Homo sapiens CD14-positive monocyte female	Bradley Bernstein, Broad	CL:0001054	CD14-positive monocyte	primary cell	blood,bodily fluid	myeloid cell,hematopoietic cell,monocyte,leukocyte	mesoderm	immune system	Homo sapiens	ENCDO265AAA	female	unknown	unknown			single-ended	Illumina HiSeq 2000	3	3	isogenic	2012-08-06	released	4	4051065117.0
ENCSR000AUW	True			Control ChIP-seq	Homo sapiens B cell female adult (27 years)	Bradley Bernstein, Broad	CL:0000236	B cell	primary cell	blood,bodily fluid	leukocyte,B cell,hematopoietic cell	endoderm,mesoderm	immune system	Homo sapiens	ENCDO115AAA	female	adult	27	year	African American	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2012-08-06	released	1	1781612092.0
ENCSR000AVF	False	ENCSR000ASR	H3K27ac	Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 1 hour	Bradley Bernstein, Broad	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2000	2	2	isogenic	2012-08-06	released	2	2546633773.0
ENCSR000DPL	False	ENCSR000DPN	H3K27ac	Histone ChIP-seq	Homo sapiens AG04450	John Stamatoyannopoulos, UW	EFO:0006270	AG04450	cell line	lung,connective tissue	fibroblast,connective tissue cell	endoderm	respiratory system	Homo sapiens	ENCDO001AAA	male	embryonic	12	week		single-ended	Illumina Genome Analyzer	1	1	unreplicated	2012-07-24	released	2	825414407.0
ENCSR000DPN	True			Control ChIP-seq	Homo sapiens AG04450	John Stamatoyannopoulos, UW	EFO:0006270	AG04450	cell line	lung,connective tissue	fibroblast,connective tissue cell	endoderm	respiratory system	Homo sapiens	ENCDO001AAA	male	embryonic	12	week		single-ended	Illumina Genome Analyzer	1	1	unreplicated	2011-02-11	released	1	985072339.0
ENCSR000EUT	False	ENCSR000EUX	H3K27ac	Histone ChIP-seq	Homo sapiens HCT116	Peggy Farnham, USC	EFO:0002824	HCT116	cell line	colon,epithelium,intestine,large intestine	cancer cell,epithelial cell	endoderm	digestive system	Homo sapiens	ENCDO000ABE	male	adult	48	year		single-ended	Illumina Genome Analyzer	2	2	isogenic	2012-06-15	released	2	1480053559.0
ENCSR000EUX	True			Control ChIP-seq	Homo sapiens HCT116	Peggy Farnham, USC	EFO:0002824	HCT116	cell line	intestine,colon,epithelium,large intestine	epithelial cell,cancer cell	endoderm	digestive system	Homo sapiens	ENCDO000ABE	male	adult	48	year		single-ended	Illumina Genome Analyzer	2	2	isogenic	2012-06-15	released	2	1541271608.0
ENCSR000EVA	True			Control ChIP-seq	Homo sapiens HEK293	Peggy Farnham, USC	EFO:0001182	HEK293	cell line	epithelium,kidney	epithelial cell	mesoderm	excretory system	Homo sapiens	ENCDO000ABF	female	embryonic	unknown			single-ended	Illumina Genome Analyzer	1	1	unreplicated	2011-10-29	released	1	935056647.0
ENCSR000EWR	False	ENCSR000EWW	H3K27ac	Histone ChIP-seq	Homo sapiens MCF-7	Peggy Farnham, USC	EFO:0001203	MCF-7	cell line	exocrine gland,epithelium,mammary gland	epithelial cell,cancer cell	ectoderm	exocrine system,integumental system	Homo sapiens	ENCDO000AAE	female	adult	69	year	European	single-ended	Illumina Genome Analyzer	2	2	isogenic	2012-06-15	released	2	2067624057.0
ENCSR000EWW	True			Control ChIP-seq	Homo sapiens MCF-7	Peggy Farnham, USC	EFO:0001203	MCF-7	cell line	mammary gland,epithelium,exocrine gland	epithelial cell,cancer cell	ectoderm	integumental system,exocrine system	Homo sapiens	ENCDO000AAE	female	adult	69	year	European	single-ended	Illumina Genome Analyzer	2	2	isogenic	2011-10-29	released	2	1417519715.0
ENCSR000EXK	False	ENCSR000EXM	H3K27ac	Histone ChIP-seq	Homo sapiens Panc1	Peggy Farnham, USC	EFO:0002713	Panc1	cell line	pancreas,epithelium	epithelial cell,cancer cell	endoderm	endocrine system	Homo sapiens	ENCDO000ABB	male	adult	56	year	European	single-ended	Illumina Genome Analyzer II	2	2	isogenic	2011-10-07	released	2	2544940248.0
ENCSR000EXM	True			Control ChIP-seq	Homo sapiens Panc1	Peggy Farnham, USC	EFO:0002713	Panc1	cell line	pancreas,epithelium	epithelial cell,cancer cell	endoderm	endocrine system	Homo sapiens	ENCDO000ABB	male	adult	56	year	European	single-ended	Illumina Genome Analyzer	1	1	unreplicated	2011-11-28	released	1	1595163256.0
ENCSR000FCH	False	ENCSR000EVA	H3K27ac	Histone ChIP-seq	Homo sapiens HEK293	Peggy Farnham, USC	EFO:0001182	HEK293	cell line	epithelium,kidney	epithelial cell	mesoderm	excretory system	Homo sapiens	ENCDO000ABF	female	embryonic	unknown			single-ended	Illumina Genome Analyzer IIx	2	3	isogenic	2014-07-07	released	3	735249037.0
ENCSR000FCU	False	ENCSR000FDA	H3K27ac	Histone ChIP-seq	Homo sapiens SK-N-SH	Peggy Farnham, USC	EFO:0003072	SK-N-SH	cell line	brain	neuroblastoma cell,cancer cell	ectoderm	central nervous system	Homo sapiens	ENCDO000ABD	female	child	4	year		single-ended	Illumina Genome Analyzer IIx	2	2	isogenic	2014-07-07	released	2	2408509497.0
ENCSR000FDA	True			Control ChIP-seq	Homo sapiens SK-N-SH	Peggy Farnham, USC	EFO:0003072	SK-N-SH	cell line	brain	neuroblastoma cell,cancer cell	ectoderm	central nervous system	Homo sapiens	ENCDO000ABD	female	child	4	year		single-ended	Illumina Genome Analyzer IIx	1	2	unreplicated	2014-07-07	released	2	1763518181.0
ENCSR000JGO	True			Control ChIP-seq	Homo sapiens brain microvascular endothelial cell	Michael Snyder, Stanford	CL:2000044	brain microvascular endothelial cell	primary cell	epithelium,vasculature,brain,blood vessel	endothelial cell,neural cell,epithelial cell	mesoderm,ectoderm	central nervous system,circulatory system	Homo sapiens	ENCDO227AAA	unknown	unknown	unknown			paired-ended	Illumina HiSeq 4000	1	1	unreplicated	2020-08-28	released	1	1799536018.0
ENCSR000NPF	False	ENCSR867SJE	H3K27ac	Histone ChIP-seq	Homo sapiens cardiac muscle cell originated from RUES2	Bradley Bernstein, Broad	CL:0000746	cardiac muscle cell	in vitro differentiated cells	musculature of body,heart	cardiocyte	mesoderm	musculature,circulatory system	Homo sapiens	ENCDO924HBJ	unknown	embryonic				single-ended	Illumina HiSeq 2500	2	2	isogenic	2016-11-12	released	10	6203875118.0
ENCSR001BSB	True			Control ChIP-seq	Homo sapiens IMR-90	Bing Ren, UCSD	EFO:0001196	IMR-90	cell line	connective tissue,lung	connective tissue cell,fibroblast	endoderm	respiratory system	Homo sapiens	ENCDO000AAX	female	embryonic	16	week	European	single-ended	Illumina Genome Analyzer II	1	2	unreplicated	2013-07-31	released	4	1395951316.0
ENCSR001KCX	True			Control ChIP-seq	Homo sapiens bipolar neuron originated from GM23338 treated with 0.5 μg/mL doxycycline hyclate for 4 days	Bradley Bernstein, Broad	CL:0000103	bipolar neuron	in vitro differentiated cells	eye,spinal cord,ear,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO336AAA	male	adult	53	year	European	paired-ended	Illumina HiSeq 2500	2	2	isogenic	2015-08-03	released	4	10417527390.0
ENCSR001SHB	False	ENCSR854GEV	H3K27ac	Histone ChIP-seq	Homo sapiens stomach tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0000945	stomach	tissue	stomach		endoderm	digestive system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina Genome Analyzer	1	1	unreplicated	2013-07-31	released	1	889406928.0
ENCSR001UFN	True			Control ChIP-seq	Homo sapiens gastrocnemius medialis tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0011907	gastrocnemius medialis	tissue	limb,musculature of body		mesoderm	musculature	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2016-11-03	released	4	3343583375.0
ENCSR002YRE	False	ENCSR001BSB,ENCSR704GTT	H3K27ac	Histone ChIP-seq	Homo sapiens IMR-90	Bing Ren, UCSD	EFO:0001196	IMR-90	cell line	connective tissue,lung	connective tissue cell,fibroblast	endoderm	respiratory system	Homo sapiens	ENCDO000AAX	female	embryonic	16	week	European	single-ended	Illumina Genome Analyzer II	2	3	isogenic	2013-07-31	released	5	2509038087.0
ENCSR004EKY	False	ENCSR020OIW	H3K27ac	Histone ChIP-seq	Homo sapiens muscle layer of colon tissue female adult (56 years)	Bradley Bernstein, Broad	UBERON:0012489	muscle layer of colon	tissue	colon,large intestine,intestine		endoderm	digestive system	Homo sapiens	ENCDO266YSK	female	adult	56	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1434835575.0
ENCSR004HIE	False	ENCSR634QZP	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO101GPB	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2144505469.0
ENCSR004YQD	False	ENCSR293ZPH	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (87 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO640RUC	female	adult	87	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-06-24	released	8	2158588031.0
ENCSR006ANF	False	ENCSR871SEB	H3K27ac	Histone ChIP-seq	Homo sapiens BLaER1 12 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1	Roderic Guigo, CRG	EFO:0030018	BLaER1	cell line	bone marrow,bone element		mesoderm	immune system,skeletal system	Homo sapiens	ENCDO305PTK	female					single-ended	Illumina HiSeq 2000	2	2	isogenic	2022-05-10	released	2	5928156650.0
ENCSR007HLH	False	ENCSR247BVB	H3K27ac	Histone ChIP-seq	Homo sapiens CD8-positive, alpha-beta T cell male adult (21 years)	John Stamatoyannopoulos, UW	CL:0000625	CD8-positive, alpha-beta T cell	primary cell	bodily fluid,blood	leukocyte,CD8+ T cell,T cell,hematopoietic cell	mesoderm,endoderm	immune system	Homo sapiens	ENCDO190HXC	male	adult	21	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1810299335.0
ENCSR007WYC	True			Control ChIP-seq	Homo sapiens ascending aorta tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0001496	ascending aorta	tissue	vasculature,blood vessel,arterial blood vessel		mesoderm	circulatory system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2016-11-03	released	4	3604331820.0
ENCSR007YOT	False	ENCSR922FLS	H3K27ac	Histone ChIP-seq	Homo sapiens GM23248	Bradley Bernstein, Broad	EFO:0005723	GM23248	cell line	connective tissue,skin of body,limb	fibroblast,connective tissue cell	ectoderm	integumental system	Homo sapiens	ENCDO336AAA	male	adult	53	year	European	single-ended	Illumina HiSeq 2500	2	2	isogenic	2016-05-03	released	2	3265672887.0
ENCSR010OVI	False	ENCSR841CWN	H3K27ac	Histone ChIP-seq	Homo sapiens BLaER1 72 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1	Roderic Guigo, CRG	EFO:0030018	BLaER1	cell line	bone marrow,bone element		mesoderm	immune system,skeletal system	Homo sapiens	ENCDO305PTK	female					single-ended	Illumina HiSeq 2000	2	2	isogenic	2022-05-10	released	2	5370202962.0
ENCSR011BHU	False	ENCSR258GSA	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (84 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO461DJY	female	adult	84	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-05-06	released	8	2246281931.0
ENCSR011GWK	True			Control ChIP-seq	Homo sapiens PC-9	Bradley Bernstein, Broad	EFO:0002847	PC-9	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO647UHQ	unknown					paired-ended	Illumina HiSeq 2500	2	2	isogenic	2016-05-06	released	9	11000755279.0
ENCSR011MGQ	False	ENCSR570YPW	H3K27ac	Histone ChIP-seq	Homo sapiens subcutaneous abdominal adipose tissue tissue nuclear fraction female adult (49 years)	Bradley Bernstein, Broad	UBERON:0014455	subcutaneous abdominal adipose tissue	tissue	connective tissue,adipose tissue		mesoderm	integumental system	Homo sapiens	ENCDO622KQK	female	adult	49	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	907356301.0
ENCSR012PII	False	ENCSR444GJM	H3K27ac	Histone ChIP-seq	Homo sapiens CD14-positive monocyte male adult (21 years)	John Stamatoyannopoulos, UW	CL:0001054	CD14-positive monocyte	primary cell	bodily fluid,blood	leukocyte,hematopoietic cell,myeloid cell,monocyte	mesoderm	immune system	Homo sapiens	ENCDO190HXC	male	adult	21	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1405956680.0
ENCSR013KEC	False	ENCSR843OBM,ENCSR633OJL	H3K27ac	Histone ChIP-seq	Homo sapiens mesenchymal stem cell originated from H1	Bing Ren, UCSD	CL:0000134	mesenchymal stem cell	in vitro differentiated cells	connective tissue	stem cell,connective tissue cell	mesoderm		Homo sapiens	ENCDO000AAW	male	embryonic				single-ended	Illumina HiSeq 2000	2	2	isogenic	2013-07-31	released	2	10354057114.0
ENCSR014TDK	False	ENCSR617MEB	H3K27ac	Histone ChIP-seq	Homo sapiens temporal lobe tissue male adult (81 years)	Bradley Bernstein, Broad	UBERON:0001871	temporal lobe	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO980BZD	male	adult	81	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	6	1579894012.0
