Sample_ID	Species	Data_source	Biosample_type	Tissue_type	Biosample_name	Case_ID_Name	Input_ID_Name
SE_02_2937	Human	NCBI GEO/SRA	Cell line	Retina	RPE.KDM4A-OE.LS.rep1	GSM5345560	GSM5345576
SE_02_2938	Human	NCBI GEO/SRA	Cell line	Retina	RPE.KDM4A-OE.G2.rep1	GSM5345561	GSM5345577
SE_02_2939	Human	NCBI GEO/SRA	Cell line	Cranial neural crest	P26_CNCC5_rep1	GSM5211838	GSM5211825
SE_02_2940	Human	NCBI GEO/SRA	Cell line	lung	DNA_H1299_WT1	GSM5258162	GSM5258165
SE_02_2941	Human	NCBI GEO/SRA	Cell line	ovary	IK_OvCa	GSM4629031	GSM4629039
SE_02_2942	Human	NCBI GEO/SRA	Cell line	ovary	Kuramochi	GSM4629047	GSM4629049
SE_02_2943	Human	NCBI GEO/SRA	Cell line	stomach	AGS	GSM4951761	GSM4951760
SE_02_2944	Human	NCBI GEO/SRA	Cell line	stomach	HGC27	GSM4951765	GSM4951764
SE_02_2945	Human	NCBI GEO/SRA	Cell line	stomach	HS746T	GSM4951771	GSM4951770
SE_02_2946	Human	NCBI GEO/SRA	Cell line	stomach	NUGC4	GSM4951781	GSM4951780
SE_02_2947	Human	NCBI GEO/SRA	Cell line	Oral cavity	HSC3_siCONT	GSM5394383	GSM5394382
SE_02_2948	Human	NCBI GEO/SRA	Cell line	Oral cavity	HSC3_siDLEU1	GSM5394386	GSM5394385
SE_02_2949	Human	NCBI GEO/SRA	Cell line	Visceral adipose	CS_H507	GSM4663965	GSM4663989
SE_02_2950	Human	NCBI GEO/SRA	Cell line	Visceral adipose	CTL_H425	GSM4663969	GSM4663990
SE_02_2951	Human	NCBI GEO/SRA	Cell line	tonsil	CB021314	GSM4337313	GSM4337190
SE_02_2952	Human	NCBI GEO/SRA	Cell line	tonsil	CC021314	GSM4337314	GSM4337191
SE_02_2953	Human	NCBI GEO/SRA	Cell line	peripheral blood	CLL140	GSM4337315	GSM4337192
SE_02_2954	Human	NCBI GEO/SRA	Cell line	lymph node	DL135	GSM4337330	GSM4337199
SE_02_2955	Human	NCBI GEO/SRA	Cell line	lymph node	FL174	GSM4337336	GSM4337211
SE_02_2956	Human	NCBI GEO/SRA	Cell line	tonsil	TS012612A	GSM4337339	GSM4337219
SE_02_2957	Human	NCBI GEO/SRA	Tissue	left ventricle	LV1121_donor	GSM3605873	GSM3605948
SE_02_2958	Human	NCBI GEO/SRA	Tissue	heart	LV1009_explant	GSM3605906	GSM3605981
SE_02_2959	Human	NCBI GEO/SRA	Tissue	heart	11963_CS22	GSM3605939	GSM3606013
SE_02_2960	Human	NCBI GEO/SRA	Tissue	left ventricle	12434_PCW10	GSM3605941	GSM3606015
SE_02_2961	Human	NCBI GEO/SRA	Tissue	left ventricle	12570_PCW17	GSM3605947	GSM3606020
SE_02_2962	Human	NCBI GEO/SRA	Tissue	left ventricle	1137	GSM6202203	GSM6202195
SE_02_2963	Human	NCBI GEO/SRA	Cell line	lung	eHAP	GSM4288482	GSM4288490
SE_02_2964	Human	NCBI GEO/SRA	Cell line	blood	Loucy cell line with MEF2C overexpression	GSM4873037	GSM4873040
SE_02_2965	Human	NCBI GEO/SRA	Cell line	tumor	NBLW-MES	GSM3589843	GSM3589845
SE_02_2966	Human	NCBI GEO/SRA	Cell line	tumor	NBLW-ADRN	GSM3589844	GSM3589846
SE_02_2967	Human	NCBI GEO/SRA	Cell line	prostate	VCaP	GSM8010020	GSM8010026
SE_02_2968	Human	NCBI GEO/SRA	Cell line	prostate	VCaP16	GSM8010023	GSM8010027
SE_02_2969	Human	NCBI GEO/SRA	Cell line	prostate	VCaP16 ARCC-32	GSM8010039	GSM8010057
SE_02_2970	Human	NCBI GEO/SRA	Cell line	prostate	VCaP16 DMSO	GSM8010042	GSM8010057
SE_02_2971	Human	NCBI GEO/SRA	Cell line	Renal	786-O	GSM8249259	GSM8249257
SE_02_2972	Human	NCBI GEO/SRA	Cell line	Renal	UOK10	GSM8249263	GSM8249261
SE_02_2973	Human	NCBI GEO/SRA	Cell line	Renal	UOK146	GSM8249267	GSM8249265
SE_02_2974	Human	NCBI GEO/SRA	Cell line	Renal	FU-UR-1	GSM8249269	GSM8249271
SE_02_2975	Human	NCBI GEO/SRA	Cell line	Renal	s-TFE	GSM8249275	GSM8249273
SE_02_2976	Human	NCBI GEO/SRA	Cell line	trophoblast	shNC	GSM6107590	GSM6107589
SE_02_2977	Human	NCBI GEO/SRA	Cell line	Thalamus	BT245 cells transduced with control shRNA SHC202 -immunoprecipitation	GSM8145542	GSM8145518
SE_02_2978	Human	NCBI GEO/SRA	Cell line	Thalamus	BT245 cells transduced with PRMT targeting shRNA TRCN0000381130 -immunoprecipitation	GSM8145543	GSM8145519
SE_02_2979	Human	NCBI GEO/SRA	Cell line	cerebral cortex	GBM1 cells transduced with PRMT targeting shRNA TRCN0000303446 -immunoprecipitation	GSM8145546	GSM8145522
SE_02_2980	Human	NCBI GEO/SRA	Cell line	tumor	VAESBJ_noDOX	GSM8620766	GSM8620770
SE_02_2981	Human	NCBI GEO/SRA	Cell line	tumor	VAESBJ_DOX	GSM8620772	GSM8620776
SE_02_2982	Human	NCBI GEO/SRA	Cell line	pancreas	CAPAN1, siCtrl	GSM8496581	GSM8496585
SE_02_2983	Human	NCBI GEO/SRA	Cell line	pancreas	CAPAN1, siJUNB	GSM8496583	GSM8496585
SE_02_2984	Human	NCBI GEO/SRA	Cell line	blood	K562_1K_cells_2cChIP-seq_Rep1	GSM5264796	GSM5264804
SE_02_2985	Human	NCBI GEO/SRA	Cell line	Breast	con_1	GSM5696227	GSM5696233
SE_02_2986	Human	NCBI GEO/SRA	Cell line	Breast	SAHA+sonidedgib_1	GSM5696245	GSM5696248
SE_02_2987	Human	NCBI GEO/SRA	Cell line	Breast	SAHA_1	GSM5696251	GSM5696254
SE_02_2988	Human	NCBI GEO/SRA	Stem cell	peripheral blood	CON	GSM8474525	GSM8474534
SE_02_2989	Human	NCBI GEO/SRA	Stem cell	peripheral blood	CPSF6-RARG_1	GSM8474526	GSM8474535
SE_02_2990	Human	NCBI GEO/SRA	Cell line	Bone marrow	ARP1-KDM6A-KO	GSM7818417	GSM7818414
SE_02_2991	Human	NCBI GEO/SRA	Cell line	Bone marrow	ARP1-KDM6A-WT	GSM7818418	GSM7818415
SE_02_2992	Human	NCBI GEO/SRA	Cell line	placenta	HTR8	GSM7815484	GSM7815485
SE_02_2993	Human	NCBI GEO/SRA	Cell line	lymph node	LNCaP_0m_rep1_ChIPseq	GSM7989612	GSM7989627
SE_02_2994	Human	NCBI GEO/SRA	Cell line	lymph node	LNCaP_30m_rep1_ChIPseq	GSM7989614	GSM7989628
SE_02_2995	Human	NCBI GEO/SRA	Cell line	lymph node	LNCaP_4h_rep1_ChIPseq	GSM7989616	GSM7989629
SE_02_2996	Human	NCBI GEO/SRA	Cell line	lymph node	LNCaP_16h_rep1_ChIPseq	GSM7989618	GSM7989630
SE_02_2997	Human	NCBI GEO/SRA	Cell line	lymph node	LNCaP_72h_rep1_ChIPseq	GSM7989620	GSM7989631
SE_02_2998	Human	NCBI GEO/SRA	Cell line	lung	H1693	GSM7559429	GSM7559431
SE_02_2999	Human	NCBI GEO/SRA	Cell line	lung	H1975	GSM7559432	GSM7559434
SE_02_3000	Human	NCBI GEO/SRA	Cell line	lung	HCC44	GSM7559435	GSM7559437
SE_02_3001	Human	NCBI GEO/SRA	Cell line	lung	H322	GSM7559438	GSM7559440
SE_02_3002	Human	NCBI GEO/SRA	Cell line	liver	Huh7_siNC	GSM8448592	GSM8448593
SE_02_3003	Human	NCBI GEO/SRA	Cell line	liver	Huh7_siHSF1	GSM8448594	GSM8448595
SE_02_3004	Human	NCBI GEO/SRA	Cell line	liver	Huh7_0	GSM8162363	GSM8162364
SE_02_3005	Human	NCBI GEO/SRA	Cell line	liver	Huh7_15	GSM8162365	GSM8162366
SE_02_3006	Human	NCBI GEO/SRA	Cell line	ovarian	KGN-Ctrl-CHIP	GSM8406607	GSM8406609
SE_02_3007	Human	NCBI GEO/SRA	Cell line	ovarian	KGN-T-CHIP	GSM8406608	GSM8406610
SE_02_3008	Human	NCBI GEO/SRA	Cell line	skin	HDF1_shCtrl	GSM8426811	GSM8426810
SE_02_3009	Human	NCBI GEO/SRA	Cell line	skin	HDF1_shAR	GSM8426815	GSM8426814
SE_02_3010	Human	NCBI GEO/SRA	Cell line	skin	HDF2_shCtrl	GSM8426819	GSM8426818
SE_02_3011	Human	NCBI GEO/SRA	Cell line	skin	HDF2_shAR	GSM8426823	GSM8426822
SE_02_3012	Human	NCBI GEO/SRA	Cell line	ovarian	SKOV3 cells, shControl,ChIP, bio rep 1	GSM8273307	GSM8273310
SE_02_3013	Human	NCBI GEO/SRA	Cell line	ovarian	SKOV3 cells, shSAT1,ChIP, bio rep 1	GSM8273311	GSM8273314
SE_02_3014	Human	NCBI GEO/SRA	Cell line	cerebral cortex	GBM1 cells transduced with PRMT targeting shRNA TRCN0000379612 -immunoprecipitation	GSM8145547	GSM8145523
SE_02_3015	Human	NCBI GEO/SRA	Cell line	tumor	VAESBJ_R_DOX	GSM8620778	GSM8620782
SE_02_3016	Human	NCBI GEO/SRA	Cell line	tumor	VAESBJ_R_nDOX	GSM8620784	GSM8620788
SE_02_3017	Human	NCBI GEO/SRA	Cell line	pancreas	KO Panc-1	GSM7502702	GSM7502704
SE_02_3018	Human	NCBI GEO/SRA	Cell line	pancreas	WT Panc-1	GSM7502703	GSM7502704
SE_02_3019	Human	NCBI GEO/SRA	Cell line	blood	THP1, scramble,ChIP	GSM7974882	GSM7974881
SE_02_3020	Human	NCBI GEO/SRA	Cell line	blood	THP1, shIRF2BP2,ChIP	GSM7974883	GSM7974881
SE_02_3021	Human	NCBI GEO/SRA	Cell line	pancreas	Pancreas, Normal	GSM8520294	GSM8520307
SE_02_3022	Human	NCBI GEO/SRA	Cell line	pancreas	Pancreas, Tumor	GSM8520300	GSM8520313
SE_02_3023	Human	NCBI GEO/SRA	Cell line	Hematopoietic	WT_THP1	GSM8625077	GSM8625075
SE_02_3024	Human	NCBI GEO/SRA	Cell line	Bone marrow	J.gamma1	GSM8275216	GSM8275217
SE_02_3025	Human	NCBI GEO/SRA	Cell line	Bone marrow	T-ALL_1	GSM8275218	GSM8275219
SE_02_3026	Human	NCBI GEO/SRA	Cell line	prostate	LuCaP145.2_Vehicle	GSM8228466	GSM8228463
SE_02_3027	Human	NCBI GEO/SRA	Cell line	prostate	LuCaP145.2_JQ1	GSM8228467	GSM8228465
SE_02_3028	Human	NCBI GEO/SRA	Cell line	prostate	LuCaP145.2_AZD5153	GSM8228468	GSM8228464
SE_02_3029	Human	NCBI GEO/SRA	Cell line	peripheral blood	EK18,Healthy	GSM7987095	GSM7987096
SE_02_3030	Human	NCBI GEO/SRA	Cell line	peripheral blood	EK12,Healthy	GSM7987098	GSM7987099
SE_02_3031	Human	NCBI GEO/SRA	Cell line	peripheral blood	EK16,Healthy	GSM7987103	GSM7987104
SE_02_3032	Human	NCBI GEO/SRA	Cell line	peripheral blood	EK21,Healthy	GSM7987108	GSM7987109
SE_02_3033	Human	NCBI GEO/SRA	Cell line	peripheral blood	EK24,Healthy	GSM7987112	GSM7987113
SE_02_3034	Human	NCBI GEO/SRA	Cell line	peripheral blood	EP1,Psoriasis	GSM7987123	GSM7987124
SE_02_3035	Human	NCBI GEO/SRA	Cell line	peripheral blood	EP15,Psoriasis	GSM7987129	GSM7987130
SE_02_3036	Human	NCBI GEO/SRA	Cell line	peripheral blood	ES3,SLE	GSM7987145	GSM7987146
SE_02_3037	Human	NCBI GEO/SRA	Cell line	skin	4L	GSM8409477	GSM8409470
SE_02_3038	Human	NCBI GEO/SRA	Cell line	neonatal foreskin	NHEM	GSM8409487	GSM8409484
SE_02_3039	Human	NCBI GEO/SRA	Cell line	tumor	ChIP DSRCT3	GSM7921189	GSM7921194
SE_02_3040	Human	NCBI GEO/SRA	Stem cell	hESC	hESC_h9	GSM7816685	GSM7836918
SE_02_3041	Human	NCBI GEO/SRA	Cell line	prostate	C42B_SR8278 24hr	GSM8123051	GSM8123053
SE_02_3042	Human	NCBI GEO/SRA	Cell line	prostate	C42B_Veh 24hr	GSM8123052	GSM8123054
SE_02_3043	Human	NCBI GEO/SRA	Stem cell	Fetal brain	Human fetal neural stem cell (hfNSC) cell line, replicate 1	GSM7665191	GSM7665194
SE_02_3044	Human	NCBI GEO/SRA	Stem cell	skin	Human induced pluripotent stem cells (hiPSCs) from adult fibroblasts, HD1.1	GSM7665195	GSM7665199
SE_02_3045	Human	NCBI GEO/SRA	Stem cell	skin	Human induced pluripotent stem cells (hiPSCs) from newborn fibroblasts, HD2.2	GSM7665197	GSM7665199
SE_02_3046	Human	NCBI GEO/SRA	Stem cell	skin	Neural stem cells (NSCs) differentiated from hiPSCs, HD1.1	GSM7665200	GSM7665204
SE_02_3047	Human	NCBI GEO/SRA	Stem cell	hiPSC	Neural stem cells (NSCs) differentiated from hiPSCs, HD2.2	GSM7665202	GSM7665204
SE_02_3048	Human	NCBI GEO/SRA	Cell line	Uveal	921	GSM7225064	GSM7225071
SE_02_3049	Human	NCBI GEO/SRA	Cell line	Uveal	Mel202	GSM7225067	GSM7225070
SE_02_3050	Human	NCBI GEO/SRA	Cell line	tumor	B1003; control 1;	GSM8041064	GSM8041067
SE_02_3051	Human	NCBI GEO/SRA	Cell line	tumor	B1003; azacitidine 1	GSM8041079	GSM8041082
SE_02_3052	Human	NCBI GEO/SRA	Cell line	tumor	IMR32_DMSO_24h	GSM7703150	GSM7703140
SE_02_3053	Human	NCBI GEO/SRA	Cell line	tumor	IMR32_ACBI1_24h	GSM7703151	GSM7703141
SE_02_3054	Human	NCBI GEO/SRA	Cell line	tumor	IMR32_siCtrl_72h	GSM7703162	GSM7703152
SE_02_3055	Human	NCBI GEO/SRA	Cell line	tumor	IMR32_siSMARCA4-5_72h	GSM7703163	GSM7703153
SE_02_3056	Human	NCBI GEO/SRA	Cell line	blood	Jurkat-J1 pool	GSM8434478	GSM8434491
SE_02_3057	Human	NCBI GEO/SRA	Cell line	blood	Jurkat-H1 pool	GSM8434480	GSM8434491
SE_02_3058	Human	NCBI GEO/SRA	Cell line	tumor	143B	GSM7793915	GSM7793914
SE_02_3059	Human	NCBI GEO/SRA	Cell line	tumor	HOS	GSM7793917	GSM7793916
SE_02_3060	Human	NCBI GEO/SRA	Cell line	tumor	MG63	GSM7793920	GSM7793919
SE_02_3061	Human	NCBI GEO/SRA	Cell line	tumor	U2OS	GSM7793922	GSM7793921
SE_02_3062	Human	NCBI GEO/SRA	Cell line	liver	LM3 cells	GSM5510395	GSM5510396
SE_02_3063	Human	NCBI GEO/SRA	Cell line	Brain	CHOP_GBM001	GSM8397415	GSM8397421
SE_02_3064	Human	NCBI GEO/SRA	Cell line	Brain	CXJ046	GSM8397424	GSM8397430
SE_02_3065	Human	NCBI GEO/SRA	Cell line	Brain	HSJD_GBM002	GSM8397433	GSM8397439
SE_02_3066	Human	NCBI GEO/SRA	Cell line	Brain	OPBG_GBM001	GSM8397451	GSM8397457
SE_02_3067	Human	NCBI GEO/SRA	Cell line	Cranial neural crest	MT453_SV20_D10CNCC_R1	GSM8152994	GSM8152998
SE_02_3068	Human	NCBI GEO/SRA	Cell line	Cranial neural crest	MT454_81_2_D10CNCC_R1	GSM8152995	GSM8152999
SE_02_3069	Human	NCBI GEO/SRA	Cell line	Cranial neural crest	MT455_64_9_D10CNCC_R1	GSM8152996	GSM8153000
SE_02_3070	Human	NCBI GEO/SRA	Cell line	Cranial neural crest	MT456_64_4_D10CNCC_R1	GSM8152997	GSM8153001
SE_02_3071	Human	NCBI GEO/SRA	Cell line	tumor	SH-EP NMYC-ER	GSM6938946	GSM6938948
SE_02_3072	Human	NCBI GEO/SRA	Cell line	iPSCs	NPC	GSM6788430	GSM6788437
SE_02_3073	Human	NCBI GEO/SRA	Cell line	iPSCs	iPSC	GSM6788431	GSM6788438
SE_02_3074	Human	NCBI GEO/SRA	Cell line	iPSCs	Neuron	GSM7688215	GSM7688217
SE_02_3075	Human	NCBI GEO/SRA	Cell line	prostate	VCaP_DMSO-EtOH_rep1	GSM7031339	GSM6451172
SE_02_3076	Human	NCBI GEO/SRA	Cell line	prostate	VCaP_DMSO-DHT_rep1	GSM7031341	GSM6451172
SE_02_3077	Human	NCBI GEO/SRA	Cell line	prostate	VCaP_ML792-EtOH_rep1	GSM7031343	GSM6451173
SE_02_3078	Human	NCBI GEO/SRA	Cell line	prostate	VCaP_ML792-DHT_rep1	GSM7031345	GSM6451173
SE_02_3079	Human	NCBI GEO/SRA	Cell line	blood	RPMI-DMSO	GSM8056703	GSM8056707
SE_02_3080	Human	NCBI GEO/SRA	Cell line	blood	RPMI-MS1943	GSM8056704	GSM8056707
SE_02_3081	Human	NCBI GEO/SRA	Cell line	blood	RPMI-Romidepsin	GSM8056705	GSM8056707
SE_02_3082	Human	NCBI GEO/SRA	Cell line	lymph node	Arid1aWt_R1.ChIP	GSM8157384	GSM8157395
SE_02_3083	Human	NCBI GEO/SRA	Cell line	blood	K562_DMSO_rep1	GSM8328415	GSM8328412
SE_02_3084	Human	NCBI GEO/SRA	Cell line	Breast	HCC3153_wt_dox_short_ChIP_1	GSM7311819	GSM7311851
SE_02_3085	Human	NCBI GEO/SRA	Cell line	ovarian	OVCAR3 GFP sg1	GSM5815594	GSM5815606
SE_02_3086	Human	NCBI GEO/SRA	Cell line	ovarian	OVCAR3 p300 TAZ2 sg1	GSM5815597	GSM5815606
SE_02_3087	Human	NCBI GEO/SRA	Cell line	ovarian	OVCAR3 p300 TAZ2 sg2	GSM5815600	GSM5815606
SE_02_3088	Human	NCBI GEO/SRA	Cell line	ovarian	OVCAR3 p300 HAT sg1	GSM5815603	GSM5815606
SE_02_3089	Human	NCBI GEO/SRA	Cell line	tumor	SHEP-Rep-1-Reverted	GSM6106882	GSM6106881
SE_02_3090	Human	NCBI GEO/SRA	Cell line	tumor	SHEP-Rep-1-Treated	GSM6106883	GSM6106881
SE_02_3091	Human	NCBI GEO/SRA	Cell line	tumor	SHEP-Rep-1-Untreated	GSM6106884	GSM6106881
SE_02_3092	Human	NCBI GEO/SRA	Cell line	tumor	SHSY-Rep-1-Reverted	GSM6106894	GSM6106893
SE_02_3093	Human	NCBI GEO/SRA	Cell line	blood	SUDHL7-Active Motif	GSM5525191	GSM5525193
SE_02_3094	Human	NCBI GEO/SRA	Cell line	peripheral blood	Karpas299	GSM5258147	GSM5258145
SE_02_3095	Human	NCBI GEO/SRA	Cell line	pancreas	TKO_PP 1	GSM4387100	GSM4387104
SE_02_3096	Human	NCBI GEO/SRA	Stem cell	hESC	hESC_r1	GSM4836839	GSM4836886
SE_02_3097	Human	NCBI GEO/SRA	Cell line	colon	WT	GSM4916242	GSM4916243
SE_02_3098	Human	NCBI GEO/SRA	Cell line	tumor	D425	GSM5603053	GSM5603054
SE_02_3099	Human	NCBI GEO/SRA	Cell line	trophoblast	shM3_IP	GSM6107586	GSM6107585
SE_02_3100	Human	NCBI GEO/SRA	Cell line	cerebral cortex	GBM1 cells transduced with control shRNA SHC202 -immunoprecipitation	GSM8145545	GSM8145521
SE_02_3101	Human	NCBI GEO/SRA	Cell line	Thalamus	BT245 cells transduced with PRMT targeting shRNA TRCN0000303446 - immunoprecipitation	GSM8145544	GSM8145520
SE_02_3102	Human	NCBI GEO/SRA	Cell line	stomach	Con	GSM7815920	GSM7815918
SE_02_3103	Human	NCBI GEO/SRA	Cell line	stomach	GLUP	GSM7815921	GSM7815919
SE_02_3104	Human	NCBI GEO/SRA	Cell line	tumor	G401dTAGDCAF5 V1 4h AbCam rep1 [2585565]	GSM7747714	GSM7747705
SE_02_3105	Human	NCBI GEO/SRA	Cell line	tumor	IMR32_siCtrl	GSM6346077	GSM6346067
SE_02_3106	Human	NCBI GEO/SRA	Tissue	stomach	P003	GSM5655191	GSM5655200
SE_02_3107	Human	NCBI GEO/SRA	Tissue	stomach	P007	GSM5655195	GSM5655204
SE_02_3108	Human	NCBI GEO/SRA	Tissue	stomach	P008	GSM5655196	GSM5655205
SE_02_3109	Human	NCBI GEO/SRA	Cell line	blood	SUPM2_MWZ7415	GSM6508942	GSM6508943
SE_02_3110	Human	NCBI GEO/SRA	Cell line	tumor	Panob_1	GSM4710959	GSM4710952
SE_02_3111	Human	NCBI GEO/SRA	Cell line	Retina	RPE-1_rep1	GSM6429695	GSM6429691
SE_02_3112	Human	NCBI GEO/SRA	Tissue	colon	17627T ChIP-seq	GSM5066838	GSM5066867
